instance;exact_val;exact_time;apx_val;apx_time
../../../allInst/m10Q10s000.tsp.ccpdp;3801.86;68;3801.86;28
../../../allInst/m10Q10s111.tsp.ccpdp;3943.44;105;3943.44;23
../../../allInst/m10Q10s222.tsp.ccpdp;3899.52;71;3899.52;26
../../../allInst/m10Q10s333.tsp.ccpdp;3989.17;105;3989.17;26
../../../allInst/m10Q10s444.tsp.ccpdp;4302.38;74;4302.38;22
../../../allInst/m10Q10s555.tsp.ccpdp;3882.29;129;4065.18;33
../../../allInst/m10Q10s666.tsp.ccpdp;4336.51;123;4481.48;34
../../../allInst/m10Q10s777.tsp.ccpdp;4177.45;74;4345.31;32
../../../allInst/m10Q10s888.tsp.ccpdp;4034.17;136;4034.17;40
../../../allInst/m10Q10s999.tsp.ccpdp;3828.08;201;4093.34;28
../../../allInst/m10Q15s000.tsp.ccpdp;3801.86;73;3801.86;28
../../../allInst/m10Q15s111.tsp.ccpdp;3943.44;109;3943.44;23
../../../allInst/m10Q15s222.tsp.ccpdp;3899.52;83;3899.52;27
../../../allInst/m10Q15s333.tsp.ccpdp;3989.17;104;3989.17;25
../../../allInst/m10Q15s444.tsp.ccpdp;4302.38;74;4302.38;22
../../../allInst/m10Q15s555.tsp.ccpdp;3882.29;128;4065.18;33
../../../allInst/m10Q15s666.tsp.ccpdp;4336.51;144;4481.48;34
../../../allInst/m10Q15s777.tsp.ccpdp;4177.45;66;4345.31;32
../../../allInst/m10Q15s888.tsp.ccpdp;4034.17;130;4034.17;39
../../../allInst/m10Q15s999.tsp.ccpdp;3828.08;194;4093.34;27
../../../allInst/m10Q20s000.tsp.ccpdp;3801.86;64;3801.86;28
../../../allInst/m10Q20s111.tsp.ccpdp;3943.44;100;3943.44;23
../../../allInst/m10Q20s222.tsp.ccpdp;3899.52;67;3899.52;26
../../../allInst/m10Q20s333.tsp.ccpdp;3989.17;92;3989.17;25
../../../allInst/m10Q20s444.tsp.ccpdp;4302.38;73;4302.38;21
../../../allInst/m10Q20s555.tsp.ccpdp;3882.29;137;4065.18;33
../../../allInst/m10Q20s666.tsp.ccpdp;4336.51;124;4481.48;34
../../../allInst/m10Q20s777.tsp.ccpdp;4177.45;71;4345.31;32
../../../allInst/m10Q20s888.tsp.ccpdp;4034.17;132;4034.17;39
../../../allInst/m10Q20s999.tsp.ccpdp;3828.08;178;4093.34;26
../../../allInst/m10Q25s000.tsp.ccpdp;3801.86;56;3801.86;27
../../../allInst/m10Q25s111.tsp.ccpdp;3943.44;96;3943.44;22
../../../allInst/m10Q25s222.tsp.ccpdp;3899.52;68;3899.52;26
../../../allInst/m10Q25s333.tsp.ccpdp;3989.17;101;3989.17;25
../../../allInst/m10Q25s444.tsp.ccpdp;4302.38;68;4302.38;21
../../../allInst/m10Q25s555.tsp.ccpdp;3882.29;122;4065.18;33
../../../allInst/m10Q25s666.tsp.ccpdp;4336.51;117;4481.48;33
../../../allInst/m10Q25s777.tsp.ccpdp;4177.45;64;4345.31;32
../../../allInst/m10Q25s888.tsp.ccpdp;4034.17;127;4034.17;49
../../../allInst/m10Q25s999.tsp.ccpdp;3828.08;200;4093.34;26
../../../allInst/m10Q30s000.tsp.ccpdp;3801.86;59;3801.86;27
../../../allInst/m10Q30s111.tsp.ccpdp;3943.44;94;3943.44;22
../../../allInst/m10Q30s222.tsp.ccpdp;3899.52;75;3899.52;26
../../../allInst/m10Q30s333.tsp.ccpdp;3989.17;98;3989.17;25
../../../allInst/m10Q30s444.tsp.ccpdp;4302.38;69;4302.38;22
../../../allInst/m10Q30s555.tsp.ccpdp;3882.29;148;4065.18;33
../../../allInst/m10Q30s666.tsp.ccpdp;4336.51;147;4481.48;32
../../../allInst/m10Q30s777.tsp.ccpdp;4177.45;70;4345.31;31
../../../allInst/m10Q30s888.tsp.ccpdp;4034.17;144;4034.17;48
../../../allInst/m10Q30s999.tsp.ccpdp;3828.08;229;4093.34;26
../../../allInst/m10Q500s000.tsp.ccpdp;3801.86;70;3801.86;28
../../../allInst/m10Q500s111.tsp.ccpdp;3943.44;110;3943.44;22
../../../allInst/m10Q500s222.tsp.ccpdp;3899.52;68;3899.52;26
../../../allInst/m10Q500s333.tsp.ccpdp;3989.17;93;3989.17;25
../../../allInst/m10Q500s444.tsp.ccpdp;4302.38;68;4302.38;22
../../../allInst/m10Q500s555.tsp.ccpdp;3882.29;132;4065.18;32
../../../allInst/m10Q500s666.tsp.ccpdp;4336.51;123;4481.48;33
../../../allInst/m10Q500s777.tsp.ccpdp;4177.45;65;4345.31;32
../../../allInst/m10Q500s888.tsp.ccpdp;4034.17;133;4034.17;39
../../../allInst/m10Q500s999.tsp.ccpdp;3828.08;167;4093.34;27
../../../allInst/m10Q5s000.tsp.ccpdp;3801.86;56;3801.86;28
../../../allInst/m10Q5s111.tsp.ccpdp;3943.44;92;3943.44;22
../../../allInst/m10Q5s222.tsp.ccpdp;3899.52;67;3899.52;26
../../../allInst/m10Q5s333.tsp.ccpdp;3989.17;90;3989.17;25
../../../allInst/m10Q5s444.tsp.ccpdp;4302.38;68;4302.38;22
../../../allInst/m10Q5s555.tsp.ccpdp;3882.29;118;4065.18;33
../../../allInst/m10Q5s666.tsp.ccpdp;4336.51;118;4481.48;33
../../../allInst/m10Q5s777.tsp.ccpdp;4177.45;66;4345.31;31
../../../allInst/m10Q5s888.tsp.ccpdp;4034.17;127;4034.17;38
../../../allInst/m10Q5s999.tsp.ccpdp;3828.08;178;4093.34;26
../../../allInst/m15Q10s000.tsp.ccpdp;4633.82;829;5027.66;81
../../../allInst/m15Q10s111.tsp.ccpdp;4531.93;414;4531.93;69
../../../allInst/m15Q10s222.tsp.ccpdp;4392.66;383;4392.66;53
../../../allInst/m15Q10s333.tsp.ccpdp;4885.97;1518;4885.97;55
../../../allInst/m15Q10s444.tsp.ccpdp;4884.39;1913;4884.39;87
../../../allInst/m15Q10s555.tsp.ccpdp;4494.07;474;4713.07;74
../../../allInst/m15Q10s666.tsp.ccpdp;4900.73;610;5059.4;83
../../../allInst/m15Q10s777.tsp.ccpdp;4596.98;610;5598.52;73
../../../allInst/m15Q10s888.tsp.ccpdp;4497.12;738;4497.12;71
../../../allInst/m15Q10s999.tsp.ccpdp;4410.83;982;4639.42;88
../../../allInst/m15Q15s000.tsp.ccpdp;4633.82;845;5027.66;81
../../../allInst/m15Q15s111.tsp.ccpdp;4531.93;405;4531.93;69
../../../allInst/m15Q15s222.tsp.ccpdp;4392.66;385;4392.66;53
../../../allInst/m15Q15s333.tsp.ccpdp;4885.97;1514;4885.97;55
../../../allInst/m15Q15s444.tsp.ccpdp;4884.39;1884;4884.39;85
../../../allInst/m15Q15s555.tsp.ccpdp;4494.07;485;4713.07;74
../../../allInst/m15Q15s666.tsp.ccpdp;4900.73;631;5059.4;83
../../../allInst/m15Q15s777.tsp.ccpdp;4596.98;633;5598.52;72
../../../allInst/m15Q15s888.tsp.ccpdp;4497.12;755;4497.12;72
../../../allInst/m15Q15s999.tsp.ccpdp;4410.83;981;4639.42;88
../../../allInst/m15Q20s000.tsp.ccpdp;4633.82;835;5027.66;79
../../../allInst/m15Q20s111.tsp.ccpdp;4531.93;416;4531.93;69
../../../allInst/m15Q20s222.tsp.ccpdp;4392.66;378;4392.66;54
../../../allInst/m15Q20s333.tsp.ccpdp;4885.97;1484;4885.97;55
../../../allInst/m15Q20s444.tsp.ccpdp;4884.39;1898;4884.39;86
../../../allInst/m15Q20s555.tsp.ccpdp;4494.07;472;4713.07;74
../../../allInst/m15Q20s666.tsp.ccpdp;4900.73;662;5059.4;83
../../../allInst/m15Q20s777.tsp.ccpdp;4596.98;614;5598.52;72
../../../allInst/m15Q20s888.tsp.ccpdp;4497.12;749;4497.12;70
../../../allInst/m15Q20s999.tsp.ccpdp;4410.83;984;4639.42;88
../../../allInst/m15Q25s000.tsp.ccpdp;4633.82;842;5027.66;80
../../../allInst/m15Q25s111.tsp.ccpdp;4531.93;415;4531.93;69
../../../allInst/m15Q25s222.tsp.ccpdp;4392.66;376;4392.66;53
../../../allInst/m15Q25s333.tsp.ccpdp;4885.97;1526;4885.97;56
../../../allInst/m15Q25s444.tsp.ccpdp;4884.39;1940;4884.39;84
../../../allInst/m15Q25s555.tsp.ccpdp;4494.07;470;4713.07;74
../../../allInst/m15Q25s666.tsp.ccpdp;4900.73;651;5059.4;83
../../../allInst/m15Q25s777.tsp.ccpdp;4596.98;613;5598.52;71
../../../allInst/m15Q25s888.tsp.ccpdp;4497.12;747;4497.12;72
../../../allInst/m15Q25s999.tsp.ccpdp;4410.83;1059;4639.42;88
../../../allInst/m15Q30s000.tsp.ccpdp;4633.82;846;5027.66;79
../../../allInst/m15Q30s111.tsp.ccpdp;4531.93;418;4531.93;69
../../../allInst/m15Q30s222.tsp.ccpdp;4392.66;383;4392.66;53
../../../allInst/m15Q30s333.tsp.ccpdp;4885.97;1493;4885.97;55
../../../allInst/m15Q30s444.tsp.ccpdp;4884.39;1885;4884.39;84
../../../allInst/m15Q30s555.tsp.ccpdp;4494.07;468;4713.07;75
../../../allInst/m15Q30s666.tsp.ccpdp;4900.73;648;5059.4;82
../../../allInst/m15Q30s777.tsp.ccpdp;4596.98;626;5598.52;71
../../../allInst/m15Q30s888.tsp.ccpdp;4497.12;757;4497.12;70
../../../allInst/m15Q30s999.tsp.ccpdp;4410.83;998;4639.42;87
../../../allInst/m15Q500s000.tsp.ccpdp;4633.82;850;5027.66;79
../../../allInst/m15Q500s111.tsp.ccpdp;4531.93;428;4531.93;69
../../../allInst/m15Q500s222.tsp.ccpdp;4392.66;377;4392.66;53
../../../allInst/m15Q500s333.tsp.ccpdp;4885.97;1504;4885.97;54
../../../allInst/m15Q500s444.tsp.ccpdp;4884.39;1882;4884.39;84
../../../allInst/m15Q500s555.tsp.ccpdp;4494.07;497;4713.07;75
../../../allInst/m15Q500s666.tsp.ccpdp;4900.73;615;5059.4;83
../../../allInst/m15Q500s777.tsp.ccpdp;4596.98;604;5598.52;72
../../../allInst/m15Q500s888.tsp.ccpdp;4497.12;882;4497.12;70
../../../allInst/m15Q500s999.tsp.ccpdp;4410.83;1074;4639.42;85
../../../allInst/m15Q5s000.tsp.ccpdp;4633.82;904;5027.66;78
../../../allInst/m15Q5s111.tsp.ccpdp;4531.93;428;4531.93;68
../../../allInst/m15Q5s222.tsp.ccpdp;4392.66;406;4392.66;52
../../../allInst/m15Q5s333.tsp.ccpdp;4885.97;1642;4885.97;56
../../../allInst/m15Q5s444.tsp.ccpdp;4884.39;1920;4884.39;86
../../../allInst/m15Q5s555.tsp.ccpdp;4494.07;484;4713.07;74
../../../allInst/m15Q5s666.tsp.ccpdp;4900.73;642;5059.4;80
../../../allInst/m15Q5s777.tsp.ccpdp;4596.98;627;5598.52;71
../../../allInst/m15Q5s888.tsp.ccpdp;4497.12;751;4497.12;69
../../../allInst/m15Q5s999.tsp.ccpdp;4410.83;988;4639.42;87
../../../allInst/m5Q10s000.tsp.ccpdp;3359.14;14;3359.14;4
../../../allInst/m5Q10s111.tsp.ccpdp;2928.64;11;2928.64;4
../../../allInst/m5Q10s222.tsp.ccpdp;2909.4;12;2909.4;4
../../../allInst/m5Q10s333.tsp.ccpdp;3451.62;16;3451.62;6
../../../allInst/m5Q10s444.tsp.ccpdp;2738.48;15;2748.33;5
../../../allInst/m5Q10s555.tsp.ccpdp;2850.81;13;2850.81;6
../../../allInst/m5Q10s666.tsp.ccpdp;3702.85;8;3702.85;5
../../../allInst/m5Q10s777.tsp.ccpdp;3396.92;6;3396.92;3
../../../allInst/m5Q10s888.tsp.ccpdp;2987.25;10;2987.25;5
../../../allInst/m5Q10s999.tsp.ccpdp;3045.85;13;3045.85;5
../../../allInst/m5Q15s000.tsp.ccpdp;3359.14;14;3359.14;4
../../../allInst/m5Q15s111.tsp.ccpdp;2928.64;11;2928.64;4
../../../allInst/m5Q15s222.tsp.ccpdp;2909.4;12;2909.4;4
../../../allInst/m5Q15s333.tsp.ccpdp;3451.62;12;3451.62;6
../../../allInst/m5Q15s444.tsp.ccpdp;2738.48;14;2748.33;5
../../../allInst/m5Q15s555.tsp.ccpdp;2850.81;13;2850.81;6
../../../allInst/m5Q15s666.tsp.ccpdp;3702.85;8;3702.85;5
../../../allInst/m5Q15s777.tsp.ccpdp;3396.92;6;3396.92;3
../../../allInst/m5Q15s888.tsp.ccpdp;2987.25;9;2987.25;5
../../../allInst/m5Q15s999.tsp.ccpdp;3045.85;13;3045.85;5
../../../allInst/m5Q20s000.tsp.ccpdp;3359.14;19;3359.14;7
../../../allInst/m5Q20s111.tsp.ccpdp;2928.64;15;2928.64;4
../../../allInst/m5Q20s222.tsp.ccpdp;2909.4;12;2909.4;4
../../../allInst/m5Q20s333.tsp.ccpdp;3451.62;13;3451.62;6
../../../allInst/m5Q20s444.tsp.ccpdp;2738.48;14;2748.33;5
../../../allInst/m5Q20s555.tsp.ccpdp;2850.81;13;2850.81;7
../../../allInst/m5Q20s666.tsp.ccpdp;3702.85;8;3702.85;5
../../../allInst/m5Q20s777.tsp.ccpdp;3396.92;6;3396.92;3
../../../allInst/m5Q20s888.tsp.ccpdp;2987.25;9;2987.25;5
../../../allInst/m5Q20s999.tsp.ccpdp;3045.85;13;3045.85;5
../../../allInst/m5Q25s000.tsp.ccpdp;3359.14;15;3359.14;5
../../../allInst/m5Q25s111.tsp.ccpdp;2928.64;11;2928.64;4
../../../allInst/m5Q25s222.tsp.ccpdp;2909.4;12;2909.4;4
../../../allInst/m5Q25s333.tsp.ccpdp;3451.62;12;3451.62;6
../../../allInst/m5Q25s444.tsp.ccpdp;2738.48;14;2748.33;5
../../../allInst/m5Q25s555.tsp.ccpdp;2850.81;13;2850.81;6
../../../allInst/m5Q25s666.tsp.ccpdp;3702.85;8;3702.85;5
../../../allInst/m5Q25s777.tsp.ccpdp;3396.92;6;3396.92;3
../../../allInst/m5Q25s888.tsp.ccpdp;2987.25;10;2987.25;5
../../../allInst/m5Q25s999.tsp.ccpdp;3045.85;13;3045.85;5
../../../allInst/m5Q30s000.tsp.ccpdp;3359.14;14;3359.14;5
../../../allInst/m5Q30s111.tsp.ccpdp;2928.64;11;2928.64;4
../../../allInst/m5Q30s222.tsp.ccpdp;2909.4;12;2909.4;4
../../../allInst/m5Q30s333.tsp.ccpdp;3451.62;13;3451.62;6
../../../allInst/m5Q30s444.tsp.ccpdp;2738.48;14;2748.33;5
../../../allInst/m5Q30s555.tsp.ccpdp;2850.81;13;2850.81;6
../../../allInst/m5Q30s666.tsp.ccpdp;3702.85;8;3702.85;5
../../../allInst/m5Q30s777.tsp.ccpdp;3396.92;5;3396.92;3
../../../allInst/m5Q30s888.tsp.ccpdp;2987.25;10;2987.25;5
../../../allInst/m5Q30s999.tsp.ccpdp;3045.85;13;3045.85;5
../../../allInst/m5Q500s000.tsp.ccpdp;3359.14;14;3359.14;5
../../../allInst/m5Q500s111.tsp.ccpdp;2928.64;11;2928.64;4
../../../allInst/m5Q500s222.tsp.ccpdp;2909.4;13;2909.4;4
../../../allInst/m5Q500s333.tsp.ccpdp;3451.62;13;3451.62;6
../../../allInst/m5Q500s444.tsp.ccpdp;2738.48;14;2748.33;5
../../../allInst/m5Q500s555.tsp.ccpdp;2850.81;13;2850.81;6
../../../allInst/m5Q500s666.tsp.ccpdp;3702.85;9;3702.85;5
../../../allInst/m5Q500s777.tsp.ccpdp;3396.92;6;3396.92;3
../../../allInst/m5Q500s888.tsp.ccpdp;2987.25;9;2987.25;5
../../../allInst/m5Q500s999.tsp.ccpdp;3045.85;13;3045.85;5
../../../allInst/m5Q5s000.tsp.ccpdp;3359.14;16;3359.14;5
../../../allInst/m5Q5s111.tsp.ccpdp;2928.64;11;2928.64;4
../../../allInst/m5Q5s222.tsp.ccpdp;2909.4;13;2909.4;4
../../../allInst/m5Q5s333.tsp.ccpdp;3451.62;13;3451.62;7
../../../allInst/m5Q5s444.tsp.ccpdp;2738.48;14;2748.33;5
../../../allInst/m5Q5s555.tsp.ccpdp;2850.81;13;2850.81;6
../../../allInst/m5Q5s666.tsp.ccpdp;3702.85;9;3702.85;5
../../../allInst/m5Q5s777.tsp.ccpdp;3396.92;6;3396.92;3
../../../allInst/m5Q5s888.tsp.ccpdp;2987.25;9;2987.25;5
../../../allInst/m5Q5s999.tsp.ccpdp;3045.85;13;3045.85;5
../../../allInst/rg-016-q-1x1.0001.ccpdp;504756;1441;504756;71
../../../allInst/rg-016-q-1x1.0002.ccpdp;427062;1277;476486;44
../../../allInst/rg-016-q-1x1.0003.ccpdp;463382;906;478375;37
../../../allInst/rg-016-q-1x1.0004.ccpdp;496590;924;503487;73
../../../allInst/rg-016-q-1x1.0005.ccpdp;479877;909;677891;53
../../../allInst/rg-016-q-1x1.0006.ccpdp;405281;706;405281;76
../../../allInst/rg-016-q-1x1.0007.ccpdp;499167;954;504305;33
../../../allInst/rg-016-q-1x1.0008.ccpdp;490086;719;490086;96
../../../allInst/rg-016-q-1x1.0009.ccpdp;475686;632;475686;68
../../../allInst/rg-016-q-1x1.0010.ccpdp;463031;390;510748;84
../../../allInst/rg-016-q-2x2-W0.1.0001.ccpdp;361332;237;361332;35
../../../allInst/rg-016-q-2x2-W0.1.0002.ccpdp;370810;494;375010;51
../../../allInst/rg-016-q-2x2-W0.1.0003.ccpdp;378039;262;378039;35
../../../allInst/rg-016-q-2x2-W0.1.0004.ccpdp;394599;887;498175;62
../../../allInst/rg-016-q-2x2-W0.1.0005.ccpdp;442978;394;442978;52
../../../allInst/rg-016-q-2x2-W0.1.0006.ccpdp;429018;221;429018;52
../../../allInst/rg-016-q-2x2-W0.1.0007.ccpdp;355438;361;355438;43
../../../allInst/rg-016-q-2x2-W0.1.0008.ccpdp;463739;289;463739;70
../../../allInst/rg-016-q-2x2-W0.1.0009.ccpdp;421106;650;421106;41
../../../allInst/rg-016-q-2x2-W0.1.0010.ccpdp;421985;515;431560;87
../../../allInst/rg-016-q-2x2-W0.2.0001.ccpdp;331495;120;331495;35
../../../allInst/rg-016-q-2x2-W0.2.0002.ccpdp;329607;231;333341;33
../../../allInst/rg-016-q-2x2-W0.2.0003.ccpdp;336034;89;336034;26
../../../allInst/rg-016-q-2x2-W0.2.0004.ccpdp;355788;169;355788;48
../../../allInst/rg-016-q-2x2-W0.2.0005.ccpdp;400551;168;400551;48
../../../allInst/rg-016-q-2x2-W0.2.0006.ccpdp;392068;1163;392068;39
../../../allInst/rg-016-q-2x2-W0.2.0007.ccpdp;326880;307;326880;36
../../../allInst/rg-016-q-2x2-W0.2.0008.ccpdp;427493;141;427493;52
../../../allInst/rg-016-q-2x2-W0.2.0009.ccpdp;374314;178;374314;25
../../../allInst/rg-016-q-2x2-W0.2.0010.ccpdp;376353;136;376353;75
../../../allInst/rg-016-q-2x2-W0.3.0001.ccpdp;302090;127;302090;40
../../../allInst/rg-016-q-2x2-W0.3.0002.ccpdp;288406;128;291673;26
../../../allInst/rg-016-q-2x2-W0.3.0003.ccpdp;294031;115;294031;24
../../../allInst/rg-016-q-2x2-W0.3.0004.ccpdp;311318;133;311318;30
../../../allInst/rg-016-q-2x2-W0.3.0005.ccpdp;350483;106;350483;23
../../../allInst/rg-016-q-2x2-W0.3.0006.ccpdp;346041;480;346041;34
../../../allInst/rg-016-q-2x2-W0.3.0007.ccpdp;288666;182;307524;33
../../../allInst/rg-016-q-2x2-W0.3.0008.ccpdp;386083;71;386083;40
../../../allInst/rg-016-q-2x2-W0.3.0009.ccpdp;327524;86;327524;17
../../../allInst/rg-016-q-2x2-W0.3.0010.ccpdp;329314;127;329314;42
../../../allInst/rg-016-q-2x2-W0.4.0001.ccpdp;259178;99;259178;17
../../../allInst/rg-016-q-2x2-W0.4.0002.ccpdp;247206;96;250007;27
../../../allInst/rg-016-q-2x2-W0.4.0003.ccpdp;252025;103;252025;23
../../../allInst/rg-016-q-2x2-W0.4.0004.ccpdp;266842;82;266842;21
../../../allInst/rg-016-q-2x2-W0.4.0005.ccpdp;300415;94;300415;20
../../../allInst/rg-016-q-2x2-W0.4.0006.ccpdp;296610;147;296610;25
../../../allInst/rg-016-q-2x2-W0.4.0007.ccpdp;247431;137;263595;24
../../../allInst/rg-016-q-2x2-W0.4.0008.ccpdp;333004;36;333004;17
../../../allInst/rg-016-q-2x2-W0.4.0009.ccpdp;280737;52;280737;18
../../../allInst/rg-016-q-2x2-W0.4.0010.ccpdp;282263;42;282263;23
../../../allInst/rg-016-q-2x2.0001.ccpdp;392014;276;392014;34
../../../allInst/rg-016-q-2x2.0002.ccpdp;398098;594;481670;67
../../../allInst/rg-016-q-2x2.0003.ccpdp;420046;340;420046;39
../../../allInst/rg-016-q-2x2.0004.ccpdp;418455;625;521886;63
../../../allInst/rg-016-q-2x2.0005.ccpdp;476152;673;492914;87
../../../allInst/rg-016-q-2x2.0006.ccpdp;460513;706;553913;51
../../../allInst/rg-016-q-2x2.0007.ccpdp;381189;328;381189;29
../../../allInst/rg-016-q-2x2.0008.ccpdp;487072;444;487072;85
../../../allInst/rg-016-q-2x2.0009.ccpdp;452674;1526;452674;64
../../../allInst/rg-016-q-2x2.0010.ccpdp;449384;617;629810;95
../../../allInst/rg-016-q-3x3-W0.1.0001.ccpdp;392745;349;392745;52
../../../allInst/rg-016-q-3x3-W0.1.0002.ccpdp;350627;133;350627;24
../../../allInst/rg-016-q-3x3-W0.1.0003.ccpdp;408624;285;408624;46
../../../allInst/rg-016-q-3x3-W0.1.0004.ccpdp;377112;49;377112;10
../../../allInst/rg-016-q-3x3-W0.1.0005.ccpdp;292237;40;292237;11
